NetAlan,Sehir,Ilce,Mahalle,Fiyat,OdaSayisi,SalonSayisi,BinaYasi,BalkonSayisi,SiteIcerisinde,KatTipi
110.0,Istanbul,Esenler,Karabayır,2600000,2.0,1.0,29,2,0,Normal
100.0,Istanbul,Gaziosmanpaşa,Fevziçakmak,2900000,2.0,1.0,19,1,0,Normal
205.0,Istanbul,Bahçelievler,Çobançeşme,12500000,3.0,1.0,1,1,0,Dubleks
80.0,Istanbul,Küçükçekmece,Sefaköy,2980000,2.0,1.0,22,1,0,Normal
95.0,Istanbul,Çatalca,Diğer,4500000,2.0,1.0,12,1,0,Normal
85.0,Istanbul,Bahçelievler,Kocasinan,3340000,2.0,1.0,15,1,0,Normal
85.0,Istanbul,Bahçelievler,Kocasinan,3340000,2.0,1.0,16,1,0,Normal
150.0,Istanbul,Başakşehir,Bahçeşehir,6100000,3.0,1.0,26,2,0,Normal
135.0,Istanbul,Avcılar,Ambarlı,2895000,4.0,1.0,28,2,0,Normal
70.0,Istanbul,Esenyurt,Haramidere,2190000,1.0,1.0,5,0,1,Normal
110.0,Istanbul,Küçükçekmece,Halkalı,7500000,1.0,1.0,3,0,1,Normal
115.0,Istanbul,Esenyurt,Kıraç,4500000,2.0,1.0,2,2,1,Normal
115.0,Istanbul,Esenyurt,Haramidere,3500000,2.0,1.0,9,1,1,Normal
130.0,Istanbul,Esenyurt,Haramidere,4250000,3.0,1.0,0,2,1,Normal
95.0,Istanbul,Bahçelievler,Zafer,2400000,2.0,1.0,29,0,0,Normal
125.0,Istanbul,Başakşehir,İkitelli,6800000,3.0,1.0,23,0,0,Normal
100.0,Istanbul,Gaziosmanpaşa,Küçükköy,4300000,2.0,1.0,4,1,0,Normal
85.0,Istanbul,Pendik,Yenişehir,3750000,2.0,1.0,19,1,0,Normal
75.0,Istanbul,Zeytinburnu,Beştelsiz,7300000,2.0,1.0,2,1,1,Normal
140.0,Istanbul,Bahçelievler,Kocasinan,4800000,3.0,1.0,24,1,0,Normal
120.0,Istanbul,Güngören,Sanayi,6800000,3.0,1.0,3,1,1,Normal
120.0,Istanbul,Ataşehir,Barbaros,21500000,1.0,1.0,2,0,1,Normal
114.0,Istanbul,Esenyurt,Haramidere,1800000,2.0,1.0,27,1,0,Normal
125.0,Istanbul,Arnavutköy,Hadımköy(Boyalık),4500000,3.0,1.0,14,0,1,Normal
70.0,Istanbul,Zeytinburnu,Merkezefendi,3100000,2.0,1.0,19,1,0,Normal
95.0,Istanbul,Pendik,Esenyalı,3900000,2.0,1.0,26,1,0,Normal
170.0,Istanbul,Sancaktepe,Yenidoğan,5650000,4.0,2.0,28,2,0,Dubleks
145.0,Istanbul,Beykoz,Anadoluhisarı,7400000,3.0,1.0,11,3,0,Normal
130.0,Istanbul,Esenyurt,Haramidere,2200000,3.0,2.0,27,1,0,Dubleks
118.0,Istanbul,Fatih,Haseki,5500000,3.0,1.0,14,1,1,Normal
130.0,Istanbul,Pendik,Çamçeşme,5900000,3.0,1.0,22,1,1,Normal
90.0,Istanbul,Fatih,Kocamustafapaşa,4200000,2.0,1.0,11,0,1,Normal
120.0,Istanbul,Esenyurt,Kıraç,2600000,2.0,1.0,23,0,1,Normal
300.0,Istanbul,Bahçelievler,Yenibosna,14950000,5.0,1.0,6,2,0,Tripleks
183.0,Istanbul,Beylikdüzü,Kavaklı,9200000,4.0,1.0,1,1,1,Dubleks
118.0,Istanbul,Çekmeköy,Alemdağ(Alemdar),9250000,2.0,1.0,5,2,1,Normal
90.0,Istanbul,Bayrampaşa,Numunebağ,3000000,2.0,1.0,22,1,0,Normal
100.0,Istanbul,Küçükçekmece,Halkalı,1900000,2.0,1.0,27,2,0,Normal
95.0,Istanbul,Bağcılar,Demirkapı,4100000,2.0,1.0,0,0,0,Normal
300.0,Istanbul,Büyükçekmece,Celaliye(Kamiloba),15800000,5.0,2.0,8,1,0,Dubleks
80.0,Istanbul,Eyüpsultan,Alibeyköy,5200000,2.0,1.0,5,2,1,Normal
300.0,Istanbul,Bayrampaşa,Numunebağ,5200000,5.0,2.0,26,1,0,Tripleks
132.0,Istanbul,Esenyurt,Haramidere,4980000,2.0,1.0,1,1,1,Normal
90.0,Istanbul,Kartal,Rahmanlar (Atalar),3500000,2.0,1.0,28,1,0,Normal
143.0,Istanbul,Sultangazi,Sultançiftliği,2100000,3.0,1.0,26,1,0,Normal
102.0,Istanbul,Küçükçekmece,Cennet,10400000,3.0,1.0,1,2,0,Normal
130.0,Istanbul,Üsküdar,Beylerbeyi,10250000,3.0,1.0,11,0,0,Normal
130.0,Istanbul,Üsküdar,Beylerbeyi,10250000,3.0,1.0,13,1,0,Normal
100.0,Istanbul,Bahçelievler,Merkez,12500000,2.0,1.0,3,2,1,Normal
80.0,Istanbul,Beylikdüzü,Yakuplu,2650000,2.0,1.0,14,1,1,Normal
50.0,Istanbul,Bayrampaşa,Altıntepsi,1990000,1.0,1.0,16,0,1,Normal
65.0,Istanbul,Bakırköy,Kartaltepe,1420000,1.0,1.0,30,0,0,Normal
100.0,Istanbul,Beylikdüzü,Gürpınar,4500000,3.0,1.0,3,0,1,Normal
95.0,Istanbul,Ümraniye,Esenşehir,5350000,2.0,1.0,20,1,0,Normal
86.0,Istanbul,Maltepe,Cevizli,4300000,3.0,1.0,26,1,0,Normal
130.0,Istanbul,Sultangazi,Sultançiftliği,7000000,3.0,1.0,9,1,0,Normal
68.0,Istanbul,Esenyurt,Haramidere,2550000,1.0,1.0,1,0,1,Normal
110.0,Istanbul,Kartal,Yakacık,5650000,3.0,1.0,25,2,0,Normal
205.0,Istanbul,Gaziosmanpaşa,Küçükköy,8200000,3.0,2.0,15,1,0,Dubleks
100.0,Istanbul,Avcılar,Firuzköy,3550000,2.0,1.0,11,2,0,Normal
